Title,Year,Directors,WatchedDate,Rating,Rating10
Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan",2009-09-26,4.0,8
Terminator 2: El juicio final,1991,James Cameron,2009-09-26,3.5,7
Perdidos (Lost),2004,"J.J. Abrams, Damon Lindelof",2009-09-26,5.0,10
Friends,1994,"David Crane, Marta Kauffman",2009-09-26,5.0,10
Pactar con el diablo,1997,Taylor Hackford,2009-09-26,3.0,6
Amores perros,2000,Alejandro González Iñárritu,2009-09-26,3.5,7
V de Vendetta,2005,James McTeigue,2009-09-26,4.0,8
El último rey de Escocia,2006,Kevin Macdonald,2009-09-26,4.0,8
Gran Torino,2008,Clint Eastwood,2009-09-26,4.0,8
Ciudadano Kane,1941,Orson Welles,2009-09-26,4.5,9
El golpe,1973,George Roy Hill,2009-09-26,4.0,8
Seven,1995,David Fincher,2009-09-26,5.0,10
Casino,1995,Martin Scorsese,2009-09-26,5.0,10
Mejor... imposible,1997,James L. Brooks,2009-09-26,4.5,9
American History X,1998,Tony Kaye,2009-09-26,5.0,10
La vida es bella,1997,Roberto Benigni,2009-09-26,4.5,9
Matrix,1999,"Lilly Wachowski, Lana Wachowski, Hermanas Wachowski",2009-09-26,5.0,10
Snatch. Cerdos y diamantes,2000,Guy Ritchie,2009-09-26,5.0,10
Ciudad de Dios,2002,"Fernando Meirelles, Kátia Lund",2009-09-26,4.5,9
21 gramos,2003,Alejandro González Iñárritu,2009-09-26,4.0,8
Sin City (Ciudad del pecado),2005,"Robert Rodriguez, Frank Miller, Quentin Tarantino",2009-09-26,4.5,9
El curioso caso de Benjamin Button,2008,David Fincher,2009-09-26,4.0,8
El resplandor,1980,Stanley Kubrick,2009-09-26,4.5,9
Amadeus,1984,Milos Forman,2009-09-26,5.0,10
Terminator,1984,James Cameron,2009-09-26,3.5,7
Trainspotting,1996,Danny Boyle,2009-09-26,4.0,8
Miedo y asco en Las Vegas,1998,Terry Gilliam,2009-09-26,4.0,8
El club de la lucha,1999,David Fincher,2009-09-26,5.0,10
Memento,2000,Christopher Nolan,2009-09-26,4.5,9
Camino a la perdición,2002,Sam Mendes,2009-09-26,4.5,9
Bailando con lobos,1990,Kevin Costner,2009-09-26,5.0,10
Sin perdón,1992,Clint Eastwood,2009-09-26,4.5,9
Cinema Paradiso,1988,Giuseppe Tornatore,2009-09-26,4.5,9
El silencio de los corderos,1991,Jonathan Demme,2009-09-26,5.0,10
El precio del poder,1983,Brian De Palma,2009-09-26,5.0,10
La naranja mecánica,1971,Stanley Kubrick,2009-09-26,5.0,10
American Beauty,1999,Sam Mendes,2009-09-26,4.5,9
Chinatown,1974,Roman Polanski,2009-09-26,5.0,10
Érase una vez en América,1984,Sergio Leone,2009-09-26,5.0,10
Malditos bastardos,2009,Quentin Tarantino,2009-09-26,4.5,9
Pulp Fiction,1994,Quentin Tarantino,2009-09-26,5.0,10
Forrest Gump,1994,Robert Zemeckis,2009-09-26,5.0,10
Toro salvaje,1980,Martin Scorsese,2009-09-26,4.5,9
Taxi Driver,1976,Martin Scorsese,2009-09-26,5.0,10
Uno de los nuestros,1990,Martin Scorsese,2009-09-26,5.0,10
La lista de Schindler,1993,Steven Spielberg,2009-09-26,5.0,10
El padrino. Parte II,1974,Francis Ford Coppola,2009-09-26,5.0,10
El padrino,1972,Francis Ford Coppola,2009-09-26,5.0,10
Sopa de ganso,1933,Leo McCarey,2009-09-26,5.0,10
Lío embarazoso,2007,Judd Apatow,2009-09-26,4.5,9
El guateque,1968,Blake Edwards,2009-09-26,4.0,8
Juno,2007,Jason Reitman,2009-09-26,4.5,9
Scary Movie,2000,Keenen Ivory Wayans,2009-09-26,2.5,5
Cartas desde Iwo Jima,2006,Clint Eastwood,2009-09-26,4.0,8
Banderas de nuestros padres,2006,Clint Eastwood,2009-09-26,4.0,8
Enemigo a las puertas,2001,Jean-Jacques Annaud,2009-09-26,3.5,7
Patton,1970,Franklin J. Schaffner,2009-09-26,4.5,9
Salvar al soldado Ryan,1998,Steven Spielberg,2009-09-26,5.0,10
El cazador,1978,Michael Cimino,2009-09-26,5.0,10
La delgada línea roja,1998,Terrence Malick,2009-09-26,4.0,8
La chaqueta metálica,1987,Stanley Kubrick,2009-09-26,5.0,10
Apocalypse Now,1979,Francis Ford Coppola,2009-09-26,5.0,10
Platoon,1986,Oliver Stone,2009-09-26,4.5,9
